ID,district,state,name,party,clinton,trump,2016_Rmargin,House_Rmargin,obama,romney,2012_Rmargin,swing12,blacks,manufacturing,med_income,public_ins,bachelors,medincdiff,medincdiff_k,medinc_10k,foreign_p
109,FL-22,FL,"Deutch, Ted",(D),56.8,41,-15.8,-17.8,56.3,43,-13.3,0,0.158393474,0.052165267,60159,0.330682266,0.379,3643,3.643,6.0159,26.95941353
110,FL-23,FL,"Wasserman Schultz, Debbie",(D),61.9,35.8,-26.1,-16.2,61.4,38,-23.4,0,0.134059359,0.041434659,61513,0.272261853,0.386,4997,4.997,6.1513,35.76664349
111,FL-24,FL,"Wilson, Frederica",(D),82.9,15.4,-67.5,-100,85.7,13.9,-71.8,0,0.487038835,0.03564336,38441,0.384348535,0.194,-18075,-18.075,3.8441,42.53172257
112,FL-25,FL,"Diaz-Balart, Mario",(R),47.9,49.7,1.8,-24.8,44.9,54.5,9.6,0,0.046184792,0.063059165,46247,0.381020942,0.227,-10269,-10.269,4.6247,58.22953061
113,FL-26,FL,"Curbelo, Carlos",(R),56.8,40.5,-16.3,-11.8,55.4,43.9,-11.5,0,0.112436867,0.033362282,54453,0.348679944,0.272,-2063,-2.063,5.4453,47.78528833
114,FL-27,FL,"Ros-Lehtinen, Ileana",(R),58.5,38.9,-19.6,-9.8,53,46.3,-6.7,0,0.052117063,0.035526505,51958,0.308302917,0.375,-4558,-4.558,5.1958,54.97604575
115,GA-01,GA,"Carter, Buddy",(R),40.9,56.4,15.5,100,43,55.9,12.9,0,0.296618504,0.092937955,50931,0.350708521,0.25,-5585,-5.585,5.0931,4.713745553
116,GA-02,GA,"Bishop, Sanford",(D),55,43.3,-11.7,-22.4,58.6,40.8,-17.8,0,0.518609314,0.121313652,35617,0.428908401,0.176,-20899,-20.899,3.5617,3.580545159
117,GA-03,GA,"Ferguson, Drew",(R),32.8,64.3,31.5,36.6,33,65.9,32.9,0,0.246509365,0.141550049,56240,0.301502675,0.265,-276,-0.276,5.624,5.315904139
118,GA-04,GA,"Johnson, Hank",(D),75.3,22.2,-53.1,-51.4,73.6,25.6,-48,0,0.592895132,0.076700908,51686,0.328102251,0.298,-4830,-4.83,5.1686,15.9693356
119,GA-05,GA,"Lewis, John",(D),85,11.9,-73.1,-68.8,83.1,15.8,-67.3,0,0.57699894,0.055188784,48269,0.301499779,0.42,-8247,-8.247,4.8269,9.118772307
120,GA-06,GA,"Handel, Karen",(R),46.8,48.3,1.5,23.4,37.5,60.8,23.3,0,0.149295506,0.062453865,87139,0.192182985,0.606,30623,30.623,8.7139,21.78096941
121,GA-07,GA,"Woodall, Rob",(R),44.8,51.1,6.3,20.8,38.3,60.2,21.9,0,0.210823635,0.09336967,72481,0.215102465,0.396,15965,15.965,7.2481,25.24953663
122,GA-08,GA,"Scott, Austin",(R),34.4,63.3,28.9,35.2,37.5,61.6,24.1,0,0.308867102,0.10483651,44360,0.376504666,0.218,-12156,-12.156,4.436,4.111487267
123,GA-09,GA,"Collins, Doug",(R),19.3,77.8,58.5,100,20.5,78.1,57.6,0,0.071919302,0.176517011,50154,0.357693689,0.216,-6362,-6.362,5.0154,7.645009
124,GA-10,GA,"Hice, Jodi",(R),35.8,61.3,25.5,100,36.3,62.5,26.2,0,0.248633784,0.111657589,51532,0.316095211,0.267,-4984,-4.984,5.1532,6.146488569
125,GA-11,GA,"Loudermilk, Barry",(R),35.3,60.3,25,34.8,31.5,66.9,35.4,0,0.16482287,0.091506346,69610,0.226134897,0.41,13094,13.094,6.961,12.30266533
126,GA-12,GA,"Allen, Rick",(R),40.7,56.9,16.2,23.2,43.6,55.4,11.8,0,0.356144006,0.106941968,43933,0.367166862,0.209,-12583,-12.583,4.3933,4.596858202
127,GA-13,GA,"Scott, David",(D),71,26.6,-44.4,-100,69.2,30,-39.2,0,0.595701256,0.062125042,57342,0.319864019,0.296,826,0.826,5.7342,10.62156099
128,GA-14,GA,"Graves, Tom",(R),22.1,75,52.9,100,25.3,73.2,47.9,0,0.095446762,0.217134264,48691,0.341933523,0.181,-7825,-7.825,4.8691,7.181177624
129,HI-01,HI,"Hanabusa, Colleen",(D),63.1,30.5,-32.6,-49.2,69.7,29,-40.7,0,0.020904429,0.030463444,78180,0.312101489,0.36,21664,21.664,7.818,22.34872987
130,HI-02,HI,"Gabbard, Tulsi",(D),61.4,29.6,-31.8,-62.4,71.4,26.7,-44.7,0,0.015412932,0.026195835,70867,0.368161062,0.278,14351,14.351,7.0867,14.48516459
131,IA-01,IA,"Blum, Rod",(R),45.2,48.7,3.5,7.6,56.2,42.5,-13.7,0,0.038418538,0.175509879,57402,0.339983051,0.271,886,0.886,5.7402,3.901386237
132,IA-02,IA,"Loebsack, David",(D),45,49.1,4.1,-7.4,55.8,42.7,-13.1,0,0.044579724,0.167023588,52150,0.36058447,0.285,-4366,-4.366,5.215,4.799965082
133,IA-03,IA,"Young, David",(R),45,48.5,3.5,13.7,51.4,47.2,-4.2,1,0.04295689,0.08146081,62323,0.328867352,0.331,5807,5.807,6.2323,6.517433945
134,IA-04,IA,"King, Steve",(R),33.5,60.9,27.4,22.6,45.3,53.4,8.1,0,0.015933971,0.150976786,53335,0.354936288,0.247,-3181,-3.181,5.3335,5.128582679
135,ID-01,ID,"Labrador, Raul",(R),25.4,63.7,38.3,36.4,32.2,64.9,32.7,0,0.004416264,0.104022518,52199,0.337017986,0.254,-4317,-4.317,5.2199,4.11143927
136,ID-02,ID,"Simpson, Mike",(R),29.8,54.5,24.7,33.5,33.1,64.1,31,0,0.009308611,0.095618145,51294,0.315011895,0.301,-5222,-5.222,5.1294,7.62467894
137,IL-01,IL,"Rush, Bobby",(D),75.4,21.4,-54,-48.2,79,20.2,-58.8,0,0.500013016,0.077647066,50523,0.405493804,0.289,-5993,-5.993,5.0523,7.50715139
138,IL-02,IL,"Kelly, Robin",(D),78,19.1,-58.9,-59.6,80.7,18.5,-62.2,0,0.569608232,0.095833536,48417,0.443969273,0.233,-8099,-8.099,4.8417,7.473137634
139,IL-03,IL,"Lipinski, Dan",(D),55.2,39.9,-15.3,-100,55.9,42.6,-13.3,0,0.052729114,0.107322318,66270,0.343445577,0.269,9754,9.754,6.627,20.98886161
140,IL-04,IL,"Gutierrez, Luis",(D),82.1,13.2,-68.9,-100,80.9,17.1,-63.8,0,0.037524205,0.144226887,51383,0.363531296,0.245,-5133,-5.133,5.1383,33.49124872
141,IL-05,IL,"Quigley, Mike",(D),70.5,23.9,-46.6,-40.3,66,31.8,-34.2,0,0.025151616,0.076577012,80269,0.218568598,0.547,23753,23.753,8.0269,22.0428465
142,IL-06,IL,"Roskam, Peter",(R),50.2,43.2,-7,18.4,45.1,53.3,8.2,0,0.026453539,0.117794421,97387,0.221633076,0.522,40871,40.871,9.7387,14.70990125
143,IL-07,IL,"Davis, Danny",(D),87.4,9.2,-78.2,-68.4,87.2,11.8,-75.4,0,0.471697253,0.076046952,54147,0.420189593,0.407,-2369,-2.369,5.4147,13.788199
144,IL-08,IL,"Krishnamoorthi, Raja",(D),58.1,36.4,-21.7,-16.6,57.4,40.9,-16.5,0,0.046446797,0.154773851,67745,0.304541615,0.326,11229,11.229,6.7745,28.17917243
145,IL-09,IL,"Schakowsky, Jan",(D),70.1,24.9,-45.2,-33,65,33.3,-31.7,0,0.100400375,0.076100315,67084,0.304184287,0.532,10568,10.568,6.7084,25.31726861
146,IL-10,IL,"Schneider, Brad",(D),62,32.6,-29.4,-5.2,57.5,41.1,-16.4,0,0.068042949,0.147127554,74971,0.279441723,0.441,18455,18.455,7.4971,24.5297702
147,IL-11,IL,"Foster, Bill",(D),58.9,35.4,-23.5,-20.8,57.8,40.6,-17.2,0,0.106242471,0.12165792,72198,0.288768683,0.36,15682,15.682,7.2198,18.39461724
148,IL-12,IL,"Bost, Mike",(R),40.2,55,14.8,14.6,49.7,48.2,-1.5,1,0.169746128,0.112539758,47430,0.422651544,0.24,-9086,-9.086,4.743,2.7831913
149,IL-13,IL,"Davis, Rodney",(R),44.2,49.7,5.5,19.4,48.6,48.9,0.3,1,0.110600412,0.099331247,49758,0.350061024,0.302,-6758,-6.758,4.9758,5.027110866
150,IL-14,IL,"Hultgren, Randy",(R),44.8,48.7,3.9,18.6,44.2,54.2,10,0,0.035097916,0.148360599,90345,0.23497744,0.421,33829,33.829,9.0345,10.06264284
151,IL-15,IL,"Shimkus, John",(R),24.5,70.7,46.2,100,34.1,63.9,29.8,0,0.044774884,0.154308496,49927,0.401040976,0.202,-6589,-6.589,4.9927,1.668691269
152,IL-16,IL,"Kinzinger, Adam",(R),38.3,55.5,17.2,100,45.2,52.9,7.7,0,0.034190506,0.170260302,57182,0.367963687,0.222,666,0.666,5.7182,4.915275916
153,IL-17,IL,"Bustos, Cheri",(D),46.7,47.4,0.7,-20.6,57.6,40.6,-17,0,0.116819442,0.168799825,45360,0.442931688,0.187,-11156,-11.156,4.536,4.532618068
154,IL-18,IL,"LaHood, Darin",(R),33.3,60.6,27.3,44.2,37.4,60.7,23.3,0,0.040982504,0.123215388,60857,0.331565351,0.317,4341,4.341,6.0857,4.023818268
155,IN-01,IN,"Visclosky, Pete",(D),54.1,41.5,-12.6,-100,61.2,37.4,-23.8,0,0.18738184,0.169848712,56370,0.35625949,0.226,-146,-0.146,5.637,5.677441647
156,IN-02,IN,"Walorski, Jackie",(R),36.1,59.3,23.2,22.4,42.1,56.1,14,0,0.069684833,0.277312467,51292,0.341255437,0.208,-5224,-5.224,5.1292,5.92602823
157,IN-03,IN,"Banks, Jim",(R),30.1,65.1,35,47.1,35.7,62.5,26.8,0,0.063424841,0.267488356,51453,0.331312307,0.229,-5063,-5.063,5.1453,4.524208996
158,IN-04,IN,"Rokita, Todd",(R),30.2,64.3,34.1,34.1,36.9,60.9,24,0,0.044895594,0.191360267,53996,0.305198864,0.26,-2520,-2.52,5.3996,5.785602811
159,IN-05,IN,"Brooks, Susan",(R),41.3,53.1,11.8,27.2,40.7,57.5,16.8,0,0.073589429,0.129703065,67461,0.269591,0.45,10945,10.945,6.7461,6.22934051
160,IN-06,IN,"Messer, Luke",(R),27.4,67.7,40.3,42.4,37.3,60.4,23.1,0,0.026940732,0.216975717,51033,0.341275132,0.207,-5483,-5.483,5.1033,2.774971692
161,IN-07,IN,"Carson, Andre",(D),59,36.2,-22.8,-24.3,62.9,35.4,-27.5,0,0.306209534,0.105033805,41429,0.40034367,0.235,-15087,-15.087,4.1429,9.743012478
162,IN-08,IN,"Bucshon, Larry",(R),30.9,64.6,33.7,32,39.6,58.4,18.8,0,0.039098892,0.200498865,50261,0.346059324,0.213,-6255,-6.255,5.0261,2.489303068
163,IN-09,IN,"Hollingsworth, Trey",(R),34.2,61.1,26.9,13.6,40.7,57.2,16.5,0,0.025558812,0.151467826,55078,0.311060893,0.263,-1438,-1.438,5.5078,4.009471066
164,KS-01,KS,"Marshall, Roger",(R),24.3,69.3,45,100,27.6,70.1,42.5,0,0.030178879,0.133849359,48156,0.303471328,0.239,-8360,-8.36,4.8156,8.00618011
165,KS-02,KS,"Jenkins, Lynn",(R),37.4,55.8,18.4,28.3,42,55.6,13.6,0,0.049069421,0.123078037,51778,0.321463492,0.292,-4738,-4.738,5.1778,3.078020142
166,KS-03,KS,"Yoder, Kevin",(R),47.2,46,-1.2,10.7,44.3,53.8,9.5,0,0.082503704,0.087534725,71562,0.244575448,0.474,15046,15.046,7.1562,10.49451431
167,KS-04,KS,"Estes, Ron",(R),33,60.2,27.2,31.1,36.1,61.6,25.5,0,0.065479716,0.17007254,52054,0.300729381,0.295,-4462,-4.462,5.2054,6.506595298
168,KY-01,KY,"Comer, James",(R),23.9,72.4,48.5,45.2,32.1,66.4,34.3,0,0.076341121,0.185056406,40253,0.466939494,0.157,-16263,-16.263,4.0253,1.574667114
169,KY-02,KY,"Guthrie, Brett",(R),27.6,67.5,39.9,100,35.1,63.3,28.2,0,0.058423746,0.182892005,49960,0.401150405,0.209,-6556,-6.556,4.996,3.275639862
170,KY-03,KY,"Yarmuth, John",(D),54.9,39.9,-15,-27,55.7,42.8,-12.9,0,0.220597684,0.121428783,51070,0.391973914,0.309,-5446,-5.446,5.107,6.75944173
171,KY-04,KY,"Massie, Thomas",(R),29.3,65.2,35.9,42.6,34.8,63.4,28.6,0,0.034478371,0.143813896,60912,0.36233351,0.283,4396,4.396,6.0912,2.849164084
172,KY-05,KY,"Rogers, Hal",(R),17.5,79.6,62.1,100,23.2,75,51.8,0,0.015052999,0.119731935,30585,0.58419841,0.124,-25931,-25.931,3.0585,0.880686463
173,KY-06,KY,"Barr, Andy",(R),39.4,54.7,15.3,22.2,42.2,55.8,13.6,0,0.087805369,0.14063222,50659,0.388796689,0.317,-5857,-5.857,5.0659,5.507248648
174,LA-01,LA,"Scalise, Steve",(R),26.7,68.7,42,68.5,26.9,70.9,44,0,0.140180751,0.059082575,56938,0.35220561,0.303,422,0.422,5.6938,6.276114694
175,LA-02,LA,"Richmond, Cedric",(D),74.6,22.2,-52.4,-100,75.8,22.8,-53,0,0.619379346,0.06683404,36798,0.446670103,0.234,-19718,-19.718,3.6798,6.53933038
176,LA-03,LA,"Higgins, Clay",(R),29.2,67.3,38.1,100,32.3,66.1,33.8,0,0.251011218,0.079110479,44668,0.391357225,0.21,-11848,-11.848,4.4668,2.805064619
177,LA-04,LA,"Johnson, Mike",(R),36.6,60.6,24,30,39.7,59,19.3,0,0.34917636,0.076210976,39748,0.428603737,0.199,-16768,-16.768,3.9748,2.448946535
178,LA-05,LA,"Abraham, Ralph",(R),34.1,63.5,29.4,100,37.7,61,23.3,0,0.345893258,0.073901584,36718,0.449072741,0.168,-19798,-19.798,3.6718,1.612041063
179,LA-06,LA,"Graves, Garret",(R),31,64.8,33.8,48.9,32,66.1,34.1,0,0.240769724,0.090812173,59270,0.315212117,0.279,2754,2.754,5.927,4.398905188
180,MA-01,MA,"Neal, Richard",(D),57.2,36.5,-20.7,-100,64,34.3,-29.7,0,0.062550905,0.111415103,55716,0.455376584,0.297,-800,-0.8,5.5716,6.996355379
181,MA-02,MA,"McGovern, Jim",(D),56.2,36.8,-19.4,-100,58.7,39.2,-19.5,0,0.052044709,0.104671352,64868,0.354758315,0.384,8352,8.352,6.4868,11.69644502
182,MA-03,MA,"Tsongas, Niki",(D),58.2,35.4,-22.8,-37.6,56.9,41.4,-15.5,0,0.036764175,0.136237007,77995,0.371835947,0.374,21479,21.479,7.7995,18.25643275
183,MA-04,MA,"Kennedy, Joe",(D),59.2,35,-24.2,-40.4,57.1,41.3,-15.8,0,0.034684713,0.097313374,98530,0.283497644,0.51,42014,42.014,9.853,12.9022407
184,MA-05,MA,"Clark, Katherine",(D),69.3,25.7,-43.6,-100,65.2,33.1,-32.1,0,0.051102198,0.074866513,92268,0.300808001,0.574,35752,35.752,9.2268,24.11992123
185,MA-06,MA,"Moulton, Seth",(D),56.1,38.2,-17.9,-100,54.7,43.9,-10.8,0,0.038134697,0.095775731,84913,0.338559913,0.44,28397,28.397,8.4913,13.15799089
186,MA-07,MA,"Capuano, Mike",(D),84.1,11.9,-72.2,-100,82.5,15.6,-66.9,0,0.264647261,0.048157159,60873,0.401933825,0.429,4357,4.357,6.0873,32.81825731
187,MA-08,MA,"Lynch, Stephen",(D),60.4,34.4,-26,-45,57.8,40.8,-17,0,0.097078596,0.054119525,82333,0.346404502,0.468,25817,25.817,8.2333,18.52660744
188,MA-09,MA,"Keating, Bill",(D),52.5,41.8,-10.7,-22.1,55.5,43.1,-12.4,0,0.025133029,0.067051129,68173,0.436401158,0.359,11657,11.657,6.8173,8.918036597
189,MD-01,MD,"Harris, Andy",(R),33.4,62,28.6,38.4,37.7,60.4,22.7,0,0.121185715,0.065662949,69254,0.364278942,0.306,12738,12.738,6.9254,5.551869928
190,MD-02,MD,"Ruppersberger, Dutch",(D),60.1,35.7,-24.4,-29,63.1,35,-28.1,0,0.341729111,0.053841298,69128,0.346162752,0.334,12612,12.612,6.9128,12.01231979
191,MD-03,MD,"Sarbanes, John",(D),62.8,32.3,-30.5,-29.4,60.7,37.1,-23.6,0,0.221950466,0.043169685,83620,0.294937583,0.472,27104,27.104,8.362,16.33153006
192,MD-04,MD,"Brown, Anthony",(D),77.2,19.7,-57.5,-52.7,78.1,20.8,-57.3,0,0.523138412,0.031741738,79350,0.310347225,0.34,22834,22.834,7.935,19.83795695
193,MD-05,MD,"Hoyer, Steny",(D),64.1,32.1,-32,-38.1,66.1,32.4,-33.7,0,0.387256097,0.029881462,95442,0.279272769,0.337,38926,38.926,9.5442,11.11579652
194,MD-06,MD,"Delaney, John",(D),55.3,40.2,-15.1,-15.9,55.2,42.8,-12.4,0,0.14203927,0.054580162,75774,0.313100636,0.415,19258,19.258,7.5774,21.25390394
195,MD-07,MD,"Cummings, Elijah",(D),75.8,20.2,-55.6,-53.2,76.2,22.3,-53.9,0,0.529113311,0.042376115,61392,0.387750748,0.378,4876,4.876,6.1392,11.81218825
196,MD-08,MD,"Raskin, Jamie",(D),65,30.6,-34.4,-26.4,62,36,-26,0,0.124779434,0.029093393,98991,0.262364295,0.556,42475,42.475,9.8991,24.26737846
197,ME-01,ME,"Pingree, Chellie",(D),54.1,39.3,-14.8,-16,59.6,38.2,-21.4,0,0.018276604,0.087709683,61173,0.32470497,0.369,4657,4.657,6.1173,4.628603965
198,ME-02,ME,"Poliquin, Bruce",(R),41.1,51.4,10.3,9.6,52.9,44.4,-8.5,0,0.011605124,0.081749811,46638,0.405290183,0.23,-9878,-9.878,4.6638,2.971247371
199,MI-01,MI,"Bergman, Jack",(R),36.6,57.9,21.3,14.8,45.3,53.6,8.3,0,0.013608797,0.113564246,46927,0.449515729,0.246,-9589,-9.589,4.6927,2.082413192
200,MI-02,MI,"Huizenga, Bill",(R),38.2,55.8,17.6,30.1,43.1,56,12.9,0,0.064507834,0.2303574,52919,0.370992026,0.238,-3597,-3.597,5.2919,5.742722443
201,MI-03,MI,"Amash, Justin",(R),42.2,51.6,9.4,22,45.8,53.1,7.3,0,0.079820833,0.191196889,57926,0.355060432,0.314,1410,1.41,5.7926,5.390543853
202,MI-04,MI,"Moolenaar, John",(R),34.7,59.5,24.8,29.5,45.5,53.5,8,0,0.017352214,0.171163112,48434,0.402706707,0.219,-8082,-8.082,4.8434,1.896537694
203,MI-05,MI,"Kildee, Dan",(D),49.7,45.5,-4.2,-26.1,60.7,38.3,-22.4,0,0.174216693,0.168146655,42800,0.479004084,0.19,-13716,-13.716,4.28,2.127912541
204,MI-06,MI,"Upton, Fred",(R),42.9,51.3,8.4,22.3,48.8,50.2,1.4,1,0.07965924,0.217586323,51477,0.378793203,0.28,-5039,-5.039,5.1477,4.611240737
205,MI-07,MI,"Walberg, Tim",(R),38.7,55.7,17,15.1,47.9,51,3.1,1,0.043642998,0.205936984,56427,0.361090084,0.246,-89,-0.089,5.6427,2.833592255
206,MI-08,MI,"Bishop, Mike",(R),43.9,50.6,6.7,16.8,48,51.1,3.1,1,0.056695567,0.164444203,66495,0.289583085,0.406,9979,9.979,6.6495,8.379336465
207,MI-09,MI,"Levin, Sander",(D),51.5,43.7,-7.8,-20.5,57.2,41.9,-15.3,0,0.141797772,0.190402686,56582,0.366614623,0.303,66,0.066,5.6582,11.47596084
208,MI-10,MI,"Mitchell, Paul",(R),31.6,63.8,32.2,30.8,43.7,55.3,11.6,0,0.024580233,0.222885382,60934,0.348827848,0.23,4418,4.418,6.0934,5.797409632
209,MI-11,MI,"Trott, Dave",(R),45.3,49.7,4.4,12.7,46.9,52.3,5.4,0,0.050348715,0.200726206,79805,0.255078088,0.466,23289,23.289,7.9805,13.58978558
210,MI-12,MI,"Dingell, Debbie",(D),60.8,34.5,-26.3,-35,66.2,32.8,-33.4,0,0.108908419,0.160954709,55506,0.353359182,0.34,-1010,-1.01,5.5506,11.9457454
211,MI-13,MI,Conyers,(D),78.8,18.1,-60.7,-61.4,85.2,14.3,-70.9,0,0.549201605,0.155606574,33995,0.545686426,0.147,-22521,-22.521,3.3995,7.464803921
212,MI-14,MI,"Lawrence, Brenda",(D),79.2,18.3,-60.9,-59.8,81,18.6,-62.4,0,0.561297948,0.160376335,42695,0.483590143,0.308,-13821,-13.821,4.2695,9.601726948
213,MN-01,MN,"Walz, Tim",(D),38.4,53.3,14.9,-0.8,49.6,48.2,-1.4,1,0.030438048,0.158734261,60424,0.33595297,0.28,3908,3.908,6.0424,6.040317364
214,MN-02,MN,"Lewis, Jason",(R),45.3,46.5,1.2,1.8,49.1,49,-0.1,1,0.045065861,0.120357901,80128,0.258451337,0.385,23612,23.612,8.0128,8.22104235
215,MN-03,MN,"Paulsen, Erik",(R),50.8,41.4,-9.4,13.8,49.6,48.8,-0.8,1,0.082496838,0.137924362,84689,0.26636239,0.49,28173,28.173,8.4689,12.31641936
216,MN-04,MN,"McCollum, Betty",(D),61.5,30.6,-30.9,-23.4,62.5,35.5,-27,0,0.097611377,0.13046149,66175,0.35515899,0.422,9659,9.659,6.6175,14.27775926
