ID,district,state,name,party,clinton,trump,2016_Rmargin,House_Rmargin,obama,romney,2012_Rmargin,swing12,blacks,manufacturing,med_income,public_ins,bachelors,medincdiff,medincdiff_k,medinc_10k,foreign_p
217,MN-05,MN,"Ellison, Keith",(D),73.7,18.5,-55.2,-46.9,73.5,24,-49.5,0,0.166353614,0.107365257,59115,0.34538219,0.445,2599,2.599,5.9115,14.89827449
218,MN-06,MN,"Emmer, Tom",(R),33.2,58.9,25.7,31.4,41.5,56.5,15,0,0.029092031,0.162166984,77049,0.260024882,0.295,20533,20.533,7.7049,4.346939947
219,MN-07,MN,"Peterson, Collin",(D),31,61.8,30.8,-0.5,44.1,53.9,9.8,0,0.010816572,0.158011333,52620,0.394098699,0.218,-3896,-3.896,5.262,2.790813249
220,MN-08,MN,"Nolan, Rick",(D),38.6,54.2,15.6,-0.6,51.7,46.2,-5.5,0,0.010405312,0.109508022,53676,0.417473418,0.23,-2840,-2.84,5.3676,1.833007727
221,MO-01,MO,"Clay, Lacy",(D),77,18.8,-58.2,-55.5,79.9,18.9,-61,0,0.489989258,0.096290698,45172,0.330239021,0.318,-11344,-11.344,4.5172,5.858772657
222,MO-02,MO,"Wagner, Ann",(R),42.3,52.6,10.3,20.8,41.4,57.1,15.7,0,0.041125507,0.108470508,79724,0.232020498,0.492,23208,23.208,7.9724,8.05554682
223,MO-03,MO,"Luetkemeyer, Blaine",(R),28.1,67.1,39,39.9,36.1,62,25.9,0,0.03374596,0.12565996,61929,0.271047122,0.264,5413,5.413,6.1929,1.843101576
224,MO-04,MO,"Hartzler, Vicki",(R),29.3,65.3,36,40,36.4,61.2,24.8,0,0.046711994,0.120702314,48065,0.338861976,0.239,-8451,-8.451,4.8065,3.457853149
225,MO-05,MO,"Cleaver, Emanuel",(D),54.1,40.6,-13.5,-20.6,58.9,39.4,-19.5,0,0.223179193,0.101538096,48693,0.317505804,0.282,-7823,-7.823,4.8693,5.742655459
226,MO-06,MO,"Graves, Sam",(R),31.7,63.1,31.4,39.6,37.9,60,22.1,0,0.038710576,0.133704788,58532,0.282847735,0.286,2016,2.016,5.8532,3.114166573
227,MO-07,MO,"Long, Billy",(R),24.7,70.4,45.7,40.1,30.3,67.6,37.3,0,0.018607083,0.115240366,44619,0.344772352,0.232,-11897,-11.897,4.4619,3.301501701
228,MO-08,MO,"Smith, Jason",(R),21,75.4,54.4,51.7,32,65.9,33.9,0,0.046764167,0.138559507,40639,0.411754922,0.15,-15877,-15.877,4.0639,1.412046313
229,MS-01,MS,"Kelly, Trent",(R),32.4,65.4,33,40.8,37,61.9,24.9,0,0.280768833,0.185529173,43194,0.360560223,0.207,-13322,-13.322,4.3194,1.778669315
230,MS-02,MS,"Thompson, Bennie",(D),63.6,35.1,-28.5,-38,66.4,33,-33.4,0,0.66603722,0.128114383,34392,0.46990118,0.193,-22124,-22.124,3.4392,1.116713013
231,MS-03,MS,"Harper, Gregg",(R),36.8,61.3,24.5,35.8,39.1,60,20.9,0,0.357939505,0.102028947,45115,0.373796568,0.259,-11401,-11.401,4.5115,2.197058871
232,MS-04,MS,"Palazzo, Steven",(R),28.2,69.4,41.2,37.2,31.2,67.6,36.4,0,0.236339026,0.118255461,45192,0.379456856,0.211,-11324,-11.324,4.5192,2.708484239
233,MT-AL,MT,"Gianforte, Greg",(R),35.9,56.5,20.6,15.7,41.7,55.4,13.7,0,0.003787937,0.043038603,50027,0.377784158,0.31,-6489,-6.489,5.0027,2.100007674
234,NC-01,NC,"Butterfield, G.K.",(D),67.5,30.5,-37,-39.6,68.1,31.2,-36.9,0,0.449273469,0.123947506,40895,0.398084894,0.277,-15621,-15.621,4.0895,7.246647243
235,NC-02,NC,"Holding, George",(R),43.6,53.2,9.6,13.4,43,56,13,0,0.201071108,0.113959946,65792,0.287268187,0.362,9276,9.276,6.5792,7.197471884
236,NC-03,NC,"Jones, Walter",(R),36.9,60.5,23.6,34.4,40.6,58.5,17.9,0,0.196663353,0.091338412,47565,0.384303193,0.228,-8951,-8.951,4.7565,3.948697554
237,NC-04,NC,"Price, David",(D),68.2,28.2,-40,-36.4,64.5,34.2,-30.3,0,0.219494659,0.076212952,70587,0.222982108,0.545,14071,14.071,7.0587,15.42633572
238,NC-05,NC,"Foxx, Virginia",(R),39.8,57.4,17.6,16.8,42.3,56.5,14.2,0,0.146865416,0.143108827,45001,0.360446829,0.263,-11515,-11.515,4.5001,6.237354106
239,NC-06,NC,"Walker, Mark",(R),41.4,56.1,14.7,18.4,43.2,55.9,12.7,0,0.201426081,0.168088847,47335,0.367526663,0.246,-9181,-9.181,4.7335,7.121629463
240,NC-07,NC,"Rouzer, David",(R),39.9,57.6,17.7,21.8,43.2,55.9,12.7,0,0.189959023,0.104551951,45002,0.406258064,0.249,-11514,-11.514,4.5002,5.672939181
241,NC-08,NC,"Hudson, Richard",(R),41.1,56.1,15,17.6,44.4,54.7,10.3,0,0.234366108,0.111842285,50570,0.362280349,0.265,-5946,-5.946,5.057,6.169294951
242,NC-09,NC,"Pittenger, Robert",(R),42.8,54.4,11.6,16.4,43.8,55.4,11.6,0,0.194536255,0.123193001,55913,0.328102915,0.338,-603,-0.603,5.5913,7.180558963
243,NC-10,NC,"McHenry, Patrick",(R),36.4,61,24.6,26.2,40.4,58.5,18.1,0,0.116940746,0.159097965,46508,0.374105738,0.246,-10008,-10.008,4.6508,4.736435303
244,NC-11,NC,"Meadows, Mark",(R),34,63.2,29.2,28.2,39.1,59.6,20.5,0,0.034669296,0.151434346,43855,0.429426656,0.24,-12661,-12.661,4.3855,4.088730344
245,NC-12,NC,"Adams, Alma",(D),68.4,28.4,-40,-34,67.8,31.3,-36.5,0,0.375432239,0.077001924,59268,0.271709343,0.398,2752,2.752,5.9268,16.25417816
246,NC-13,NC,"Budd, Ted",(R),44,53.4,9.4,12.2,46.1,52.9,6.8,0,0.217244436,0.170497951,47440,0.356013151,0.27,-9076,-9.076,4.744,8.059483503
247,ND-AL,ND,"Cramer, Kevin",(R),27.7,64.1,36.4,45.4,38.9,58.7,19.8,0,0.025397353,0.066097322,60656,0.260436475,0.296,4140,4.14,6.0656,3.244000617
248,NE-01,NE,"Fortenberry, Jeff",(R),36.2,57.5,21.3,39,40.8,57.4,16.6,0,0.03055952,0.110504637,58537,0.266171201,0.325,2021,2.021,5.8537,6.976627734
249,NE-02,NE,"Bacon, Don",(R),46,48.2,2.2,1.2,45.7,52.9,7.2,0,0.096101896,0.084596003,62621,0.24717699,0.392,6105,6.105,6.2621,8.58832142
250,NE-03,NE,"Smith, Adrian",(R),20,74.9,54.9,100,27.8,70.2,42.4,0,0.011225421,0.12245424,50985,0.308825081,0.222,-5531,-5.531,5.0985,5.399669811
251,NH-01,NH,"Shea-Porter, Carol",(D),46.6,48.2,1.6,-1.3,50.2,48.6,-1.6,1,0.012815187,0.126104192,71277,0.300876258,0.372,14761,14.761,7.1277,5.575432719
252,NH-02,NH,"Kuster, Annie",(D),48.6,46.2,-2.4,-4.5,54.2,44.5,-9.7,0,0.012159778,0.117966489,70524,0.325005589,0.359,14008,14.008,7.0524,5.860186679
253,NJ-01,NJ,"Norcross, Donald",(D),60.6,36.1,-24.5,-23.2,65.1,33.8,-31.3,0,0.169802659,0.071620392,68208,0.353720547,0.304,11692,11.692,6.8208,9.786564872
254,NJ-02,NJ,"LoBiondo, Frank",(R),46,50.6,4.6,22,53.5,45.4,-8.1,0,0.121537416,0.072559991,60756,0.38468419,0.258,4240,4.24,6.0756,10.49961598
255,NJ-03,NJ,"MacArthur, Tom",(R),45.2,51.4,6.2,20.4,51.8,47.2,-4.6,1,0.108170113,0.066702424,74537,0.32790851,0.339,18021,18.021,7.4537,9.128479808
256,NJ-04,NJ,"Smith, Chris",(R),41,55.8,14.8,30.2,44.7,54.2,9.5,0,0.067908958,0.063985847,78511,0.341935173,0.396,21995,21.995,7.8511,11.94795545
257,NJ-05,NJ,"Gottheimer, Josh",(D),47.7,48.8,1.1,-4.4,47.9,51,3.1,1,0.053904814,0.086602804,100219,0.237774294,0.477,43703,43.703,10.0219,20.24176667
258,NJ-06,NJ,"Pallone, Frank",(D),56.2,40.6,-15.6,-28.8,61.4,37.4,-24,1,0.100232004,0.088162749,79229,0.270045062,0.389,22713,22.713,7.9229,29.47873122
259,NJ-07,NJ,"Lance, Leonard",(R),48.6,47.5,-1.1,11,46.3,52.5,6.2,0,0.049726119,0.106086106,106896,0.221994035,0.513,50380,50.38,10.6896,19.08997773
260,NJ-08,NJ,"Sires, Albio",(D),75.7,21.5,-54.2,-58.5,78.3,20.7,-57.6,0,0.103130694,0.07887711,57391,0.338685292,0.331,875,0.875,5.7391,44.47124094
261,NJ-09,NJ,"Pascrell, Bill",(D),64.3,33.1,-31.2,-41.7,68.3,30.8,-37.5,0,0.10103223,0.109190377,64964,0.363211422,0.336,8448,8.448,6.4964,38.34961612
262,NJ-10,NJ,"Payne, Donald",(D),85.2,12.8,-72.4,-73.8,87.9,11.5,-76.4,0,0.514533112,0.062496415,50100,0.373668508,0.283,-6416,-6.416,5.01,29.02625379
263,NJ-11,NJ,"Frelinghuysen, Rodney",(R),47.9,48.8,0.9,19.1,46.6,52.4,5.8,0,0.032470772,0.096819665,108260,0.24105031,0.544,51744,51.744,10.826,18.28402657
264,NJ-12,NJ,"Watson Coleman, Bonnie",(D),65,31.8,-33.2,-30.9,66.5,32.4,-34.1,0,0.170831025,0.088357195,85744,0.274841173,0.455,29228,29.228,8.5744,27.65712226
265,NM-01,NM,"Lujan Grisham, Michelle",(D),51.6,35.1,-16.5,-30.2,55.3,39.6,-15.7,0,0.027355173,0.043119881,49570,0.458711584,0.329,-6946,-6.946,4.957,10.07956239
266,NM-02,NM,"Pearce, Steve",(R),39.9,50.1,10.2,25.4,44.9,51.7,6.8,0,0.018910069,0.032891715,41797,0.522362379,0.21,-14719,-14.719,4.1797,12.40647973
267,NM-03,NM,"Lujan, Ben",(D),51.8,36.7,-15.1,-24.8,57.5,38.7,-18.8,0,0.012729373,0.03711335,49210,0.464757436,0.272,-7306,-7.306,4.921,6.082135039
268,NV-01,NV,"Titus, Dina",(D),61.6,32.6,-29,-33.1,65.6,32.4,-33.2,0,0.115282329,0.032598621,38000,0.388640103,0.152,-18516,-18.516,3.8,32.9317169
269,NV-02,NV,"Amodei, Mark",(R),39.7,52,12.3,21.4,44.8,52.9,8.1,0,0.017356913,0.074692481,58214,0.349438143,0.255,1698,1.698,5.8214,12.49476379
270,NV-03,NV,"Rosen, Jacky",(D),46.5,47.5,1,-1.2,49.5,48.7,-0.8,1,0.067400257,0.029048553,68396,0.283550221,0.315,11880,11.88,6.8396,17.87492884
271,NV-04,NV,"Kihuen, Ruben",(D),49.5,44.6,-4.9,-4,54.4,43.7,-10.7,0,0.155745539,0.034718629,55712,0.36562967,0.204,-804,-0.804,5.5712,16.61924756
272,NY-01,NY,"Zeldin, Lee",(R),42.2,54.5,12.3,16.4,49.6,49.1,-0.5,1,0.055219132,0.050923966,90435,0.317815998,0.341,33919,33.919,9.0435,12.88697045
273,NY-02,NY,"King, Peter",(R),43.9,53,9.1,24.2,51.6,47.2,-4.4,1,0.097550557,0.081605917,93362,0.306969117,0.312,36846,36.846,9.3362,18.39154669
274,NY-03,NY,"Suozzi, Tom",(D),51.6,45.5,-6.1,-6,50.8,48.2,-2.6,1,0.027652537,0.055193801,111504,0.282593314,0.516,54988,54.988,11.1504,22.48703574
275,NY-04,NY,"Rice, Kathleen",(D),53.4,43.8,-9.6,-19.2,56.3,42.8,-13.5,0,0.14576908,0.042017722,100178,0.293106282,0.425,43662,43.662,10.0178,22.42108887
276,NY-05,NY,"Meeks, Gregory",(D),85.7,12.7,-73,-72.5,90.6,9.1,-81.5,0,0.488061509,0.03032194,66529,0.410393562,0.255,10013,10.013,6.6529,42.0344165
277,NY-06,NY,"Meng, Grace",(D),65.1,32.1,-33,-45.4,67.8,31,-36.8,0,0.040511102,0.039038934,61956,0.388679411,0.359,5440,5.44,6.1956,51.09891422
278,NY-07,NY,"Velazquez, Nydia",(D),86.9,10.4,-76.5,-81.6,88.4,10.3,-78.1,0,0.11147946,0.050992523,55207,0.475135892,0.337,-1309,-1.309,5.5207,35.67719931
279,NY-08,NY,"Jeffries, Hakeem",(D),84.6,13.5,-71.1,-100,89.2,10.2,-79,0,0.534333449,0.030693459,51634,0.433548646,0.337,-4882,-4.882,5.1634,33.1771868
280,NY-09,NY,"Clarke, Yvette",(D),83.5,14.4,-69.1,-100,85.2,13.9,-71.3,0,0.494698609,0.02198168,54895,0.445082988,0.375,-1621,-1.621,5.4895,40.10619028
281,NY-10,NY,"Nadler, Jerrold",(D),78.3,18.8,-59.5,-56.2,73.6,25.1,-48.5,0,0.035577466,0.036568494,85756,0.371945251,0.603,29240,29.24,8.5756,31.77527646
282,NY-11,NY,"Donovan, Dan",(R),43.8,53.6,9.8,24.9,51.6,47.3,-4.3,1,0.074581346,0.027079199,71072,0.371631932,0.344,14556,14.556,7.1072,30.72069965
283,NY-12,NY,"Maloney, Carolyn",(D),83.3,13.5,-69.8,-66.4,76.9,21.5,-55.4,0,0.047353422,0.03312877,100281,0.240717281,0.722,43765,43.765,10.0281,26.18638631
284,NY-13,NY,"Espaillat, Adriano",(D),92.3,5.4,-86.9,-81.9,94.6,4.6,-90,0,0.296628,0.02943354,41103,0.517152307,0.31,-15413,-15.413,4.1103,38.36102526
285,NY-14,NY,"Crowley, Joe",(D),77.7,19.8,-57.9,-65.8,80.7,18.3,-62.4,0,0.113857586,0.037761283,53512,0.447529212,0.256,-3004,-3.004,5.3512,45.81959333
286,NY-15,NY,"Serrano, Jose",(D),93.8,4.9,-88.9,-91.8,96.7,3,-93.7,0,0.318048494,0.035200888,29234,0.630906317,0.124,-27282,-27.282,2.9234,38.20702627
287,NY-16,NY,"Engel, Eliot",(D),75.1,22.5,-52.6,-100,73.7,25.5,-48.2,0,0.341209219,0.031631285,69086,0.387834454,0.406,12570,12.57,6.9086,30.24364622
288,NY-17,NY,"Lowey, Nita",(D),58.6,38.4,-20.2,-100,57.1,41.9,-15.2,0,0.107152548,0.051586099,94451,0.352202369,0.445,37935,37.935,9.4451,24.06845189
289,NY-18,NY,"Maloney, Sean",(D),47.1,49,1.9,-11.2,51.4,47.1,-4.3,1,0.093233345,0.060326775,80493,0.326707244,0.357,23977,23.977,8.0493,12.23552726
290,NY-19,NY,"Faso, John",(R),44,50.8,6.8,8.2,52.1,45.9,-6.2,0,0.045009561,0.070149254,59619,0.389401047,0.292,3103,3.103,5.9619,6.734461497
291,NY-20,NY,"Tonko, Paul",(D),54,40.5,-13.5,-35.8,59.2,38.8,-20.4,0,0.090635264,0.068055627,64226,0.357634204,0.387,7710,7.71,6.4226,8.945060657
292,NY-21,NY,"Stefanik, Elise",(R),40,53.9,13.9,35.1,52.2,46.1,-6.1,0,0.029848356,0.090321779,52350,0.41173176,0.232,-4166,-4.166,5.235,3.382279804
293,NY-22,NY,"Tenney, Claudia",(R),39.3,54.8,15.5,5.4,48.8,49.2,0.4,1,0.042697281,0.108535599,52967,0.421823102,0.26,-3549,-3.549,5.2967,5.15932585
294,NY-23,NY,"Reed, Tom",(R),39.7,54.5,14.8,15.2,48.4,49.6,1.2,1,0.031396144,0.13270802,48730,0.4127646,0.261,-7786,-7.786,4.873,4.537193218
295,NY-24,NY,"Katko, John",(R),48.9,45.3,-3.6,21.2,57,41.1,-15.9,0,0.084491554,0.096047763,56388,0.391046372,0.303,-128,-0.128,5.6388,6.032687896
296,NY-25,NY,"Slaughter, Louise",(D),55.5,39.1,-16.4,-12.4,58.8,39.4,-19.4,0,0.157392266,0.112733086,53723,0.385487532,0.373,-2793,-2.793,5.3723,9.018632024
297,NY-26,NY,"Higgins, Brian",(D),57.6,38,-19.6,-49.2,63.9,34.3,-29.6,0,0.177568314,0.096303443,47358,0.454924399,0.308,-9158,-9.158,4.7358,7.755421449
298,NY-27,NY,"Collins, Chris",(R),35.2,59.7,24.5,34.4,42.9,55.3,12.4,0,0.02513008,0.129461973,62698,0.332078207,0.307,6182,6.182,6.2698,3.262869498
299,OH-01,OH,"Chabot, Steve",(R),44.6,51.2,6.6,18.4,46.3,52.4,6.1,0,0.219701684,0.126164741,55712,0.337586321,0.338,-804,-0.804,5.5712,5.687512175
300,OH-02,OH,"Wenstrup, Brad",(R),39.7,55.8,16.1,32.8,43.7,54.7,11,0,0.085217634,0.131334716,55472,0.367534503,0.323,-1044,-1.044,5.5472,2.82738239
301,OH-03,OH,"Beatty, Joyce",(D),67,28.6,-38.4,-37.2,69.7,28.9,-40.8,0,0.332385375,0.073246327,45860,0.378057626,0.278,-10656,-10.656,4.586,11.15106452
302,OH-04,OH,"Jordan, Jim",(R),30.7,64.3,33.6,36,42,56,14,0,0.054691471,0.249908306,52632,0.37405103,0.179,-3884,-3.884,5.2632,2.058772047
303,OH-05,OH,"Latta, Bob",(R),34.6,59.7,25.1,41.8,44.1,53.9,9.8,0,0.026419047,0.230218283,57171,0.332230395,0.262,655,0.655,5.7171,2.753597047
304,OH-06,OH,"Johnson, Bill",(R),26.7,69.3,42.6,41.4,42.7,55.2,12.5,0,0.025481022,0.140883659,46839,0.439651265,0.159,-9677,-9.677,4.6839,1.134686216
305,OH-07,OH,"Gibbs, Bob",(R),32.8,62.5,29.7,35,44.2,53.7,9.5,0,0.039535324,0.201874637,53374,0.376462649,0.209,-3142,-3.142,5.3374,2.195415303
306,OH-08,OH,"Davidson, Warren",(R),30.6,65.1,34.5,41.8,36.4,61.9,25.5,0,0.05968925,0.206850847,58213,0.360237617,0.238,1697,1.697,5.8213,3.73839223
307,OH-09,OH,"Kaptur, Marcy",(D),58.7,36.5,-22.2,-37.4,67.6,30.9,-36.7,0,0.17033111,0.151965159,41417,0.462902813,0.216,-15099,-15.099,4.1417,4.678837895
308,OH-10,OH,"Turner, Michael",(R),44,51.3,7.3,31.4,48.2,50.1,1.9,1,0.170148288,0.132823121,49988,0.399289682,0.279,-6528,-6.528,4.9988,4.743362291
309,OH-11,OH,"Fudge, Marcia",(D),80.5,17,-63.5,-60.6,82.8,16.5,-66.3,0,0.526638699,0.122971282,35735,0.49524057,0.268,-20781,-20.781,3.5735,5.371800539
310,OH-12,OH,Tiberi,(R),41.9,53.2,11.3,36.8,43.9,54.4,10.5,0,0.04857411,0.110767784,67415,0.300810496,0.41,10899,10.899,6.7415,5.553417153
311,OH-13,OH,"Ryan, Tim",(D),51.1,44.6,-6.5,-35.4,62.9,35.4,-27.5,0,0.117637029,0.160808666,42430,0.435744636,0.237,-14086,-14.086,4.243,4.284448127
312,OH-14,OH,"Joyce, David",(R),42.1,53.6,11.5,25.2,47.6,50.9,3.3,1,0.044968525,0.181116789,63362,0.314957267,0.341,6846,6.846,6.3362,4.638930895
313,OH-15,OH,"Stivers, Steve",(R),39.9,55.3,15.4,32.4,46.3,51.9,5.6,0,0.043552983,0.106926161,61514,0.347478544,0.314,4998,4.998,6.1514,3.860289421
314,OH-16,OH,"Renacci, Jim",(R),39.5,56.1,16.6,30.6,45.2,53.4,8.2,0,0.023813909,0.162129566,64197,0.313715235,0.333,7681,7.681,6.4197,5.350742166
315,OK-01,OK,"Bridenstine, Jim",(R),32.7,61.4,28.7,100,34.2,65.8,31.6,0,0.085910455,0.116972219,52319,0.318877612,0.302,-4197,-4.197,5.2319,7.890024982
316,OK-02,OK,"Mullin, Markwayne",(R),22.8,72.9,50.1,47.4,32.2,67.8,35.6,0,0.033550815,0.120613997,40770,0.415863327,0.17,-15746,-15.746,4.077,2.135985804
317,OK-03,OK,"Lucas, Frank",(R),20.9,73.6,52.7,56.6,26.1,73.9,47.8,0,0.035116907,0.086976287,47724,0.334463948,0.229,-8792,-8.792,4.7724,4.902410992
318,OK-04,OK,"Cole, Tom",(R),28.3,65.7,37.4,43.5,32.9,67.1,34.2,0,0.070791877,0.081844874,55183,0.316600683,0.255,-1333,-1.333,5.5183,4.329488196
319,OK-05,OK,"Russell, Steve",(R),39.8,53.2,13.4,20.3,40.8,59.2,18.4,0,0.136135682,0.07327238,49616,0.345985934,0.301,-6900,-6.9,4.9616,9.496612119
320,OR-01,OR,"Bonamici, Suzanne",(D),57.3,34.5,-22.8,-22.7,57.3,40,-17.3,0,0.014978839,0.163657231,72097,0.32742211,0.411,15581,15.581,7.2097,14.09111044
321,OR-02,OR,"Walden, Greg",(R),36.4,56.5,20.1,43.8,40.5,56.8,16.3,0,0.007617472,0.094775796,49837,0.467544477,0.238,-6679,-6.679,4.9837,5.923479592
322,OR-03,OR,"Blumenauer, Earl",(D),70.7,22.5,-48.2,-100,72,24.7,-47.3,0,0.054758287,0.09419619,63231,0.34849571,0.412,6715,6.715,6.3231,13.21869428
323,OR-04,OR,"DeFazio, Peter",(D),46.1,46,-0.1,-15.9,51.7,45,-6.7,0,0.007777508,0.101263702,46749,0.46129358,0.267,-9767,-9.767,4.6749,5.079076152
324,OR-05,OR,"Schrader, Kurt",(D),48.3,44.1,-4.2,-10.5,50.5,47.1,-3.4,1,0.011000266,0.101967139,60395,0.390693148,0.3,3879,3.879,6.0395,9.533726406
325,PA-01,PA,"Brady, Bob",(D),79.5,18.2,-61.3,-64.4,82.3,16.9,-65.4,0,0.354512599,0.066943244,45025,0.433888348,0.274,-11491,-11.491,4.5025,14.04139903
